,block size,box type,data structure,memory size,num cell probes,num disk accesses,num points,num queries
0,8,bigBoxes,NaiveStruct,32,200000,26839,200,1000
1,8,smallBoxes,NaiveStruct,32,200000,25000,200,1000
2,8,bigBoxes,XBST,32,44111,8827,200,1000
3,8,smallBoxes,XBST,32,8101,2635,200,1000
4,8,bigBoxes,XBST_non_veb,32,44111,10098,200,1000
5,8,smallBoxes,XBST_non_veb,32,8101,3662,200,1000
6,8,bigBoxes,RangeTree,32,42000,16348,200,1000
7,8,smallBoxes,RangeTree,32,18720,5181,200,1000
8,8,bigBoxes,RangeTree_non_veb,32,42000,18102,200,1000
9,8,smallBoxes,RangeTree_non_veb,32,18720,5800,200,1000
10,8,bigBoxes,Coors,32,28948,10230,200,1000
11,8,smallBoxes,Coors,32,9586,3900,200,1000
12,8,bigBoxes,NaiveStruct,64,200000,26484,200,1000
13,8,smallBoxes,NaiveStruct,64,200000,25000,200,1000
14,8,bigBoxes,XBST,64,44111,8146,200,1000
15,8,smallBoxes,XBST,64,8101,1985,200,1000
16,8,bigBoxes,XBST_non_veb,64,44111,9290,200,1000
17,8,smallBoxes,XBST_non_veb,64,8101,2819,200,1000
18,8,bigBoxes,RangeTree,64,42000,14755,200,1000
19,8,smallBoxes,RangeTree,64,18720,4434,200,1000
20,8,bigBoxes,RangeTree_non_veb,64,42000,16108,200,1000
21,8,smallBoxes,RangeTree_non_veb,64,18720,4948,200,1000
22,8,bigBoxes,Coors,64,28948,9348,200,1000
23,8,smallBoxes,Coors,64,9586,3310,200,1000
24,8,bigBoxes,NaiveStruct,128,200000,26267,200,1000
25,8,smallBoxes,NaiveStruct,128,200000,25000,200,1000
26,8,bigBoxes,XBST,128,44111,6777,200,1000
27,8,smallBoxes,XBST,128,8101,1217,200,1000
28,8,bigBoxes,XBST_non_veb,128,44111,7700,200,1000
29,8,smallBoxes,XBST_non_veb,128,8101,1533,200,1000
30,8,bigBoxes,RangeTree,128,42000,13671,200,1000
31,8,smallBoxes,RangeTree,128,18720,3759,200,1000
32,8,bigBoxes,RangeTree_non_veb,128,42000,14916,200,1000
33,8,smallBoxes,RangeTree_non_veb,128,18720,4149,200,1000
34,8,bigBoxes,Coors,128,28948,8582,200,1000
35,8,smallBoxes,Coors,128,9586,2610,200,1000
36,16,bigBoxes,NaiveStruct,256,200000,446,200,1000
37,16,smallBoxes,NaiveStruct,256,200000,0,200,1000
38,16,bigBoxes,XBST,256,44111,2147,200,1000
39,16,smallBoxes,XBST,256,8101,368,200,1000
40,16,bigBoxes,XBST_non_veb,256,44111,2672,200,1000
41,16,smallBoxes,XBST_non_veb,256,8101,391,200,1000
42,16,bigBoxes,RangeTree,256,42000,10244,200,1000
43,16,smallBoxes,RangeTree,256,18720,2625,200,1000
44,16,bigBoxes,RangeTree_non_veb,256,42000,11643,200,1000
45,16,smallBoxes,RangeTree_non_veb,256,18720,3226,200,1000
46,16,bigBoxes,Coors,256,28948,5898,200,1000
47,16,smallBoxes,Coors,256,9586,1441,200,1000
48,32,bigBoxes,NaiveStruct,1024,200000,224,200,1000
49,32,smallBoxes,NaiveStruct,1024,200000,0,200,1000
50,32,bigBoxes,XBST,1024,44111,230,200,1000
51,32,smallBoxes,XBST,1024,8101,0,200,1000
52,32,bigBoxes,XBST_non_veb,1024,44111,231,200,1000
53,32,smallBoxes,XBST_non_veb,1024,8101,0,200,1000
54,32,bigBoxes,RangeTree,1024,42000,7030,200,1000
55,32,smallBoxes,RangeTree,1024,18720,1448,200,1000
56,32,bigBoxes,RangeTree_non_veb,1024,42000,7459,200,1000
57,32,smallBoxes,RangeTree_non_veb,1024,18720,1560,200,1000
58,32,bigBoxes,Coors,1024,28948,3679,200,1000
59,32,smallBoxes,Coors,1024,9586,559,200,1000
60,8,bigBoxes,NaiveStruct,32,100000,13991,100,1000
61,8,smallBoxes,NaiveStruct,32,100000,13003,100,1000
62,8,bigBoxes,XBST,32,25546,5416,100,1000
63,8,smallBoxes,XBST,32,6883,1799,100,1000
64,8,bigBoxes,XBST_non_veb,32,25546,6202,100,1000
65,8,smallBoxes,XBST_non_veb,32,6883,2298,100,1000
66,8,bigBoxes,RangeTree,32,32782,11959,100,1000
67,8,smallBoxes,RangeTree,32,16649,3797,100,1000
68,8,bigBoxes,RangeTree_non_veb,32,32782,14000,100,1000
69,8,smallBoxes,RangeTree_non_veb,32,16649,4923,100,1000
70,8,bigBoxes,Coors,32,20691,7497,100,1000
71,8,smallBoxes,Coors,32,8279,2571,100,1000
72,8,bigBoxes,NaiveStruct,32,200000,26817,200,1000
73,8,smallBoxes,NaiveStruct,32,200000,25000,200,1000
74,8,bigBoxes,XBST,32,44141,8871,200,1000
75,8,smallBoxes,XBST,32,8012,2569,200,1000
76,8,bigBoxes,XBST_non_veb,32,44141,10116,200,1000
77,8,smallBoxes,XBST_non_veb,32,8012,3678,200,1000
78,8,bigBoxes,RangeTree,32,41474,16325,200,1000
79,8,smallBoxes,RangeTree,32,18705,5373,200,1000
80,8,bigBoxes,RangeTree_non_veb,32,41474,18094,200,1000
81,8,smallBoxes,RangeTree_non_veb,32,18705,5977,200,1000
82,8,bigBoxes,Coors,32,28941,10391,200,1000
83,8,smallBoxes,Coors,32,9587,4023,200,1000
84,8,bigBoxes,NaiveStruct,32,500000,67591,500,1000
85,8,smallBoxes,NaiveStruct,32,500000,63001,500,1000
86,8,bigBoxes,XBST,32,99225,18240,500,1000
87,8,smallBoxes,XBST,32,9780,3643,500,1000
88,8,bigBoxes,XBST_non_veb,32,99225,21113,500,1000
89,8,smallBoxes,XBST_non_veb,32,9780,6312,500,1000
90,8,bigBoxes,RangeTree,32,61294,22832,500,1000
91,8,smallBoxes,RangeTree,32,22120,5795,500,1000
92,8,bigBoxes,RangeTree_non_veb,32,61294,26023,500,1000
93,8,smallBoxes,RangeTree_non_veb,32,22120,7528,500,1000
94,8,bigBoxes,Coors,32,49378,15323,500,1000
95,8,smallBoxes,Coors,32,11717,4532,500,1000
96,8,bigBoxes,NaiveStruct,32,1000000,134060,1000,1000
97,8,smallBoxes,NaiveStruct,32,1000000,125003,1000,1000
98,8,bigBoxes,XBST,32,189775,33252,1000,1000
99,8,smallBoxes,XBST,32,11638,4388,1000,1000
100,8,bigBoxes,XBST_non_veb,32,189775,36591,1000,1000
101,8,smallBoxes,XBST_non_veb,32,11638,7562,1000,1000
102,8,bigBoxes,RangeTree,32,86206,31370,1000,1000
103,8,smallBoxes,RangeTree,32,25257,7217,1000,1000
104,8,bigBoxes,RangeTree_non_veb,32,86206,35381,1000,1000
105,8,smallBoxes,RangeTree_non_veb,32,25257,8609,1000,1000
106,8,bigBoxes,Coors,32,83239,23263,1000,1000
107,8,smallBoxes,Coors,32,13401,5454,1000,1000
